trial_id,trial_type,condition,sequence,prompt,inclusive_answer,exclusive_answer_w1,exclusive_answer_w2,correct_answer
40,filler,simple_multiple,"fish, tiger, purple, cucumber, yellow","Remove yellow in the following sequence: fish, tiger, purple, cucumber, yellow. Respond directly with the remaining sequence.",,,,"fish, tiger, purple, cucumber"
41,target,or_all_word,"onion, banana, yellow, strawberry, banana, bird, bird","Remove all banana or bird in the following sequence: onion, banana, yellow, strawberry, banana, bird, bird. Respond directly with the remaining sequence.","onion, yellow, strawberry","onion, yellow, strawberry, bird, bird","onion, banana, yellow, strawberry, banana",
42,filler,simple_multiple,"apple, rabbit, cherry, green, black","Remove black in the following sequence: apple, rabbit, cherry, green, black. Respond directly with the remaining sequence.",,,,"apple, rabbit, cherry, green"
43,filler,all,"banana, potato, horse, grape, horse, tiger","Remove all occurrences of horse in the following sequence: banana, potato, horse, grape, horse, tiger. Respond directly with the remaining sequence.",,,,"banana, potato, grape, tiger"
44,filler,simple_multiple,"spinach, apple, banana, horse, fish","Remove horse in the following sequence: spinach, apple, banana, horse, fish. Respond directly with the remaining sequence.",,,,"spinach, apple, banana, fish"
45,target,or_all_all,"cherry, apple, apple, cherry, tiger, apple, dog, cherry, red","Remove all cherry or all apple in the following sequence: cherry, apple, apple, cherry, tiger, apple, dog, cherry, red. Respond directly with the remaining sequence.","tiger, dog, red","apple, apple, tiger, apple, dog, red","cherry, cherry, tiger, dog, cherry, red",
46,target,or_all_word,"pink, fish, cat, cat, fish, orange, tiger","Remove all fish or cat in the following sequence: pink, fish, cat, cat, fish, orange, tiger. Respond directly with the remaining sequence.","pink, orange, tiger","pink, cat, cat, orange, tiger","pink, fish, fish, orange, tiger",
47,filler,all,"cucumber, banana, blue, pear, dog, dog","Remove all occurrences of dog in the following sequence: cucumber, banana, blue, pear, dog, dog. Respond directly with the remaining sequence.",,,,"cucumber, banana, blue, pear"
48,filler,simple_multiple,"monkey, pear, carrot, green, broccoli","Remove green in the following sequence: monkey, pear, carrot, green, broccoli. Respond directly with the remaining sequence.",,,,"monkey, pear, carrot, broccoli"
49,target,or_word_word,"strawberry, red, yellow, yellow, monkey, monkey, monkey, yellow, tiger","Remove yellow or monkey in the following sequence: strawberry, red, yellow, yellow, monkey, monkey, monkey, yellow, tiger. Respond directly with the remaining sequence.","strawberry, red, tiger","strawberry, red, monkey, monkey, monkey, tiger","strawberry, red, yellow, yellow, yellow, tiger",
50,filler,and_multiple,"monkey, cherry, grape, red, carrot","Remove monkey and cherry in the following sequence: monkey, cherry, grape, red, carrot. Respond directly with the remaining sequence.",,,,"grape, red, carrot"
51,filler,and_multiple,"strawberry, green, white, yellow, dog","Remove white and dog in the following sequence: strawberry, green, white, yellow, dog. Respond directly with the remaining sequence.",,,,"strawberry, green, yellow"
52,target,or_word_word,"strawberry, cherry, banana, red, fish, banana, banana, fish","Remove banana or fish in the following sequence: strawberry, cherry, banana, red, fish, banana, banana, fish. Respond directly with the remaining sequence.","strawberry, cherry, red","strawberry, cherry, red, fish, fish","strawberry, cherry, banana, red, banana, banana",
53,target,or_all_all,"pink, banana, red, red, orange, dog, dog, dog","Remove all red or all dog in the following sequence: pink, banana, red, red, orange, dog, dog, dog. Respond directly with the remaining sequence.","pink, banana, orange","pink, banana, orange, dog, dog, dog","pink, banana, red, red, orange",
54,target,or_all_all,"broccoli, pink, yellow, yellow, yellow, strawberry, broccoli, cat","Remove all broccoli or all yellow in the following sequence: broccoli, pink, yellow, yellow, yellow, strawberry, broccoli, cat. Respond directly with the remaining sequence.","pink, strawberry, cat","pink, yellow, yellow, yellow, strawberry, cat","broccoli, pink, strawberry, broccoli, cat",
55,filler,all,"spinach, broccoli, black, black, onion, apple","Remove all occurrences of black in the following sequence: spinach, broccoli, black, black, onion, apple. Respond directly with the remaining sequence.",,,,"spinach, broccoli, onion, apple"
56,target,or_word_word,"pink, broccoli, grape, broccoli, pink, pink, rabbit, yellow, broccoli","Remove pink or broccoli in the following sequence: pink, broccoli, grape, broccoli, pink, pink, rabbit, yellow, broccoli. Respond directly with the remaining sequence.","grape, rabbit, yellow","broccoli, grape, broccoli, rabbit, yellow, broccoli","pink, grape, pink, pink, rabbit, yellow",
57,filler,simple_multiple,"bird, apple, spinach, banana, carrot","Remove carrot in the following sequence: bird, apple, spinach, banana, carrot. Respond directly with the remaining sequence.",,,,"bird, apple, spinach, banana"
58,target,or_all_all,"dog, green, dog, pear, pear, pear, dog, pink, orange","Remove all dog or all pear in the following sequence: dog, green, dog, pear, pear, pear, dog, pink, orange. Respond directly with the remaining sequence.","green, pink, orange","green, pear, pear, pear, pink, orange","dog, green, dog, dog, pink, orange",
59,target,or_all_word,"bird, dog, dog, bird, cucumber, spinach, apple","Remove all bird or dog in the following sequence: bird, dog, dog, bird, cucumber, spinach, apple. Respond directly with the remaining sequence.","cucumber, spinach, apple","dog, dog, cucumber, spinach, apple","bird, bird, cucumber, spinach, apple",
60,target,or_all_all,"tiger, onion, monkey, tiger, cat, tiger, monkey, purple","Remove all tiger or all monkey in the following sequence: tiger, onion, monkey, tiger, cat, tiger, monkey, purple. Respond directly with the remaining sequence.","onion, cat, purple","onion, monkey, cat, monkey, purple","tiger, onion, tiger, cat, tiger, purple",
