trial_id,trial_type,condition,sequence,prompt,inclusive_answer,exclusive_answer_w1,exclusive_answer_w2,correct_answer
11,target,or_all_all,"mango, mango, spinach, broccoli, fish, broccoli, broccoli, orange","Remove all mango or all broccoli in the following sequence: mango, mango, spinach, broccoli, fish, broccoli, broccoli, orange. Respond directly with the remaining sequence.","spinach, fish, orange","spinach, broccoli, fish, broccoli, broccoli, orange","mango, mango, spinach, fish, orange",
12,filler,and_multiple,"pink, carrot, mango, cat, orange","Remove pink and cat in the following sequence: pink, carrot, mango, cat, orange. Respond directly with the remaining sequence.",,,,"carrot, mango, orange"
13,filler,and_multiple,"spinach, yellow, red, bird, white","Remove red and bird in the following sequence: spinach, yellow, red, bird, white. Respond directly with the remaining sequence.",,,,"spinach, yellow, white"
14,filler,simple_multiple,"blue, bird, fish, green, potato","Remove blue in the following sequence: blue, bird, fish, green, potato. Respond directly with the remaining sequence.",,,,"bird, fish, green, potato"
15,filler,and_multiple,"apple, carrot, fish, rabbit, pear","Remove rabbit and pear in the following sequence: apple, carrot, fish, rabbit, pear. Respond directly with the remaining sequence.",,,,"apple, carrot, fish"
16,filler,simple_multiple,"tomato, grape, cucumber, cherry, carrot","Remove cucumber in the following sequence: tomato, grape, cucumber, cherry, carrot. Respond directly with the remaining sequence.",,,,"tomato, grape, cherry, carrot"
17,target,or_all_all,"spinach, bird, bird, grape, grape, purple, grape, horse, bird","Remove all bird or all grape in the following sequence: spinach, bird, bird, grape, grape, purple, grape, horse, bird. Respond directly with the remaining sequence.","spinach, purple, horse","spinach, grape, grape, purple, grape, horse","spinach, bird, bird, purple, horse, bird",
18,target,or_word_word,"monkey, monkey, bird, monkey, bird, tiger, bird, blue, green","Remove monkey or bird in the following sequence: monkey, monkey, bird, monkey, bird, tiger, bird, blue, green. Respond directly with the remaining sequence.","tiger, blue, green","bird, bird, tiger, bird, blue, green","monkey, monkey, monkey, tiger, blue, green",
19,filler,all,"monkey, purple, yellow, purple, mango, purple, dog","Remove all occurrences of purple in the following sequence: monkey, purple, yellow, purple, mango, purple, dog. Respond directly with the remaining sequence.",,,,"monkey, yellow, mango, dog"
20,target,or_all_all,"red, banana, broccoli, yellow, yellow, yellow, orange, broccoli","Remove all broccoli or all yellow in the following sequence: red, banana, broccoli, yellow, yellow, yellow, orange, broccoli. Respond directly with the remaining sequence.","red, banana, orange","red, banana, yellow, yellow, yellow, orange","red, banana, broccoli, orange, broccoli",
21,target,or_word_word,"yellow, cat, mango, monkey, yellow, monkey, green","Remove yellow or monkey in the following sequence: yellow, cat, mango, monkey, yellow, monkey, green. Respond directly with the remaining sequence.","cat, mango, green","cat, mango, monkey, monkey, green","yellow, cat, mango, yellow, green",
22,target,or_all_word,"broccoli, red, spinach, yellow, dog, red, red, spinach","Remove all red or spinach in the following sequence: broccoli, red, spinach, yellow, dog, red, red, spinach. Respond directly with the remaining sequence.","broccoli, yellow, dog","broccoli, spinach, yellow, dog, spinach","broccoli, red, yellow, dog, red, red",
23,filler,all,"spinach, fish, potato, spinach, red, mango","Remove all occurrences of spinach in the following sequence: spinach, fish, potato, spinach, red, mango. Respond directly with the remaining sequence.",,,,"fish, potato, red, mango"
24,target,or_word_word,"carrot, dog, dog, red, red, tomato, potato","Remove dog or red in the following sequence: carrot, dog, dog, red, red, tomato, potato. Respond directly with the remaining sequence.","carrot, tomato, potato","carrot, red, red, tomato, potato","carrot, dog, dog, tomato, potato",
25,filler,simple_multiple,"bird, cherry, strawberry, carrot, spinach","Remove bird in the following sequence: bird, cherry, strawberry, carrot, spinach. Respond directly with the remaining sequence.",,,,"cherry, strawberry, carrot, spinach"
26,target,or_word_word,"tomato, red, orange, horse, tomato, strawberry, tomato, orange, orange","Remove tomato or orange in the following sequence: tomato, red, orange, horse, tomato, strawberry, tomato, orange, orange. Respond directly with the remaining sequence.","red, horse, strawberry","red, orange, horse, strawberry, orange, orange","tomato, red, horse, tomato, strawberry, tomato",
27,target,or_all_all,"grape, green, grape, broccoli, grape, pear, monkey, broccoli","Remove all grape or all broccoli in the following sequence: grape, green, grape, broccoli, grape, pear, monkey, broccoli. Respond directly with the remaining sequence.","green, pear, monkey","green, broccoli, pear, monkey, broccoli","grape, green, grape, grape, pear, monkey",
28,filler,simple_multiple,"strawberry, cat, fish, purple, grape","Remove purple in the following sequence: strawberry, cat, fish, purple, grape. Respond directly with the remaining sequence.",,,,"strawberry, cat, fish, grape"
29,target,or_word_word,"tomato, blue, blue, black, rabbit, onion, black","Remove blue or black in the following sequence: tomato, blue, blue, black, rabbit, onion, black. Respond directly with the remaining sequence.","tomato, rabbit, onion","tomato, black, rabbit, onion, black","tomato, blue, blue, rabbit, onion",
30,filler,all,"cucumber, tiger, apple, grape, red, red","Remove all occurrences of red in the following sequence: cucumber, tiger, apple, grape, red, red. Respond directly with the remaining sequence.",,,,"cucumber, tiger, apple, grape"
31,target,or_all_word,"broccoli, broccoli, green, bird, spinach, spinach, dog","Remove all broccoli or spinach in the following sequence: broccoli, broccoli, green, bird, spinach, spinach, dog. Respond directly with the remaining sequence.","green, bird, dog","green, bird, spinach, spinach, dog","broccoli, broccoli, green, bird, dog",
32,target,or_word_word,"cucumber, tomato, red, tomato, tomato, cherry, black, cherry","Remove tomato or cherry in the following sequence: cucumber, tomato, red, tomato, tomato, cherry, black, cherry. Respond directly with the remaining sequence.","cucumber, red, black","cucumber, red, cherry, black, cherry","cucumber, tomato, red, tomato, tomato, black",
33,filler,and_multiple,"dog, grape, pear, onion, yellow","Remove onion and yellow in the following sequence: dog, grape, pear, onion, yellow. Respond directly with the remaining sequence.",,,,"dog, grape, pear"
34,target,or_word_word,"monkey, mango, pink, mango, bird, black, mango, black","Remove mango or black in the following sequence: monkey, mango, pink, mango, bird, black, mango, black. Respond directly with the remaining sequence.","monkey, pink, bird","monkey, pink, bird, black, black","monkey, mango, pink, mango, bird, mango",
35,filler,simple_multiple,"rabbit, spinach, tomato, purple, orange","Remove rabbit in the following sequence: rabbit, spinach, tomato, purple, orange. Respond directly with the remaining sequence.",,,,"spinach, tomato, purple, orange"
36,target,or_all_word,"pear, grape, pear, blue, blue, pear, apple, carrot","Remove all pear or blue in the following sequence: pear, grape, pear, blue, blue, pear, apple, carrot. Respond directly with the remaining sequence.","grape, apple, carrot","grape, blue, blue, apple, carrot","pear, grape, pear, pear, apple, carrot",
37,filler,and_multiple,"pink, carrot, banana, horse, monkey","Remove carrot and pink in the following sequence: pink, carrot, banana, horse, monkey. Respond directly with the remaining sequence.",,,,"banana, horse, monkey"
38,filler,simple_multiple,"cat, fish, bird, yellow, spinach","Remove bird in the following sequence: cat, fish, bird, yellow, spinach. Respond directly with the remaining sequence.",,,,"cat, fish, yellow, spinach"
39,filler,and_multiple,"orange, carrot, strawberry, rabbit, spinach","Remove rabbit and strawberry in the following sequence: orange, carrot, strawberry, rabbit, spinach. Respond directly with the remaining sequence.",,,,"orange, carrot, spinach"
40,filler,all,"grape, horse, strawberry, grape, green, grape, dog","Remove all occurrences of grape in the following sequence: grape, horse, strawberry, grape, green, grape, dog. Respond directly with the remaining sequence.",,,,"horse, strawberry, green, dog"
41,target,or_all_word,"orange, pear, onion, orange, red, red, yellow, orange","Remove all orange or red in the following sequence: orange, pear, onion, orange, red, red, yellow, orange. Respond directly with the remaining sequence.","pear, onion, yellow","pear, onion, red, red, yellow","orange, pear, onion, orange, yellow, orange",
42,filler,simple_multiple,"green, mango, white, monkey, bird","Remove green in the following sequence: green, mango, white, monkey, bird. Respond directly with the remaining sequence.",,,,"mango, white, monkey, bird"
43,filler,all,"cucumber, rabbit, carrot, rabbit, rabbit, banana, cherry","Remove all occurrences of rabbit in the following sequence: cucumber, rabbit, carrot, rabbit, rabbit, banana, cherry. Respond directly with the remaining sequence.",,,,"cucumber, carrot, banana, cherry"
44,target,or_all_all,"blue, monkey, onion, cat, rabbit, onion, monkey","Remove all monkey or all onion in the following sequence: blue, monkey, onion, cat, rabbit, onion, monkey. Respond directly with the remaining sequence.","blue, cat, rabbit","blue, onion, cat, rabbit, onion","blue, monkey, cat, rabbit, monkey",
45,target,or_word_word,"mango, spinach, yellow, monkey, yellow, pink, spinach, spinach","Remove spinach or yellow in the following sequence: mango, spinach, yellow, monkey, yellow, pink, spinach, spinach. Respond directly with the remaining sequence.","mango, monkey, pink","mango, yellow, monkey, yellow, pink","mango, spinach, monkey, pink, spinach, spinach",
46,filler,and_multiple,"rabbit, tomato, bird, pear, red","Remove tomato and pear in the following sequence: rabbit, tomato, bird, pear, red. Respond directly with the remaining sequence.",,,,"rabbit, bird, red"
47,target,or_all_all,"rabbit, red, monkey, monkey, monkey, cherry, bird, rabbit","Remove all rabbit or all monkey in the following sequence: rabbit, red, monkey, monkey, monkey, cherry, bird, rabbit. Respond directly with the remaining sequence.","red, cherry, bird","red, monkey, monkey, monkey, cherry, bird","rabbit, red, cherry, bird, rabbit",
48,filler,and_multiple,"white, cherry, onion, carrot, potato","Remove cherry and carrot in the following sequence: white, cherry, onion, carrot, potato. Respond directly with the remaining sequence.",,,,"white, onion, potato"
49,filler,all,"spinach, onion, spinach, grape, mango, yellow","Remove all occurrences of spinach in the following sequence: spinach, onion, spinach, grape, mango, yellow. Respond directly with the remaining sequence.",,,,"onion, grape, mango, yellow"
50,filler,simple_multiple,"spinach, fish, pear, purple, strawberry","Remove pear in the following sequence: spinach, fish, pear, purple, strawberry. Respond directly with the remaining sequence.",,,,"spinach, fish, purple, strawberry"
51,target,or_all_all,"tomato, pear, rabbit, blue, pear, pear, cucumber, rabbit, rabbit","Remove all pear or all rabbit in the following sequence: tomato, pear, rabbit, blue, pear, pear, cucumber, rabbit, rabbit. Respond directly with the remaining sequence.","tomato, blue, cucumber","tomato, rabbit, blue, cucumber, rabbit, rabbit","tomato, pear, blue, pear, pear, cucumber",
52,filler,all,"cherry, mango, cherry, blue, apple, horse, cherry","Remove all occurrences of cherry in the following sequence: cherry, mango, cherry, blue, apple, horse, cherry. Respond directly with the remaining sequence.",,,,"mango, blue, apple, horse"
53,target,or_all_all,"pink, red, bird, red, tomato, potato, red, potato, potato","Remove all red or all potato in the following sequence: pink, red, bird, red, tomato, potato, red, potato, potato. Respond directly with the remaining sequence.","pink, bird, tomato","pink, bird, tomato, potato, potato, potato","pink, red, bird, red, tomato, red",
54,target,or_all_word,"pink, cherry, spinach, pink, cucumber, cherry, cherry, fish","Remove all pink or cherry in the following sequence: pink, cherry, spinach, pink, cucumber, cherry, cherry, fish. Respond directly with the remaining sequence.","spinach, cucumber, fish","cherry, spinach, cucumber, cherry, cherry, fish","pink, spinach, pink, cucumber, fish",
55,target,or_all_word,"dog, dog, broccoli, orange, apple, monkey, orange","Remove all dog or orange in the following sequence: dog, dog, broccoli, orange, apple, monkey, orange. Respond directly with the remaining sequence.","broccoli, apple, monkey","broccoli, orange, apple, monkey, orange","dog, dog, broccoli, apple, monkey",
56,target,or_all_word,"green, green, rabbit, grape, cucumber, fish, fish","Remove all green or fish in the following sequence: green, green, rabbit, grape, cucumber, fish, fish. Respond directly with the remaining sequence.","rabbit, grape, cucumber","rabbit, grape, cucumber, fish, fish","green, green, rabbit, grape, cucumber",
57,filler,simple_multiple,"mango, potato, white, pear, bird","Remove white in the following sequence: mango, potato, white, pear, bird. Respond directly with the remaining sequence.",,,,"mango, potato, pear, bird"
58,target,or_all_all,"apple, onion, spinach, apple, banana, horse, banana","Remove all apple or all banana in the following sequence: apple, onion, spinach, apple, banana, horse, banana. Respond directly with the remaining sequence.","onion, spinach, horse","onion, spinach, banana, horse, banana","apple, onion, spinach, apple, horse",
59,target,or_all_all,"orange, potato, monkey, orange, monkey, orange, strawberry, cucumber","Remove all orange or all monkey in the following sequence: orange, potato, monkey, orange, monkey, orange, strawberry, cucumber. Respond directly with the remaining sequence.","potato, strawberry, cucumber","potato, monkey, monkey, strawberry, cucumber","orange, potato, orange, orange, strawberry, cucumber",
60,filler,simple_multiple,"broccoli, dog, green, cucumber, carrot","Remove green in the following sequence: broccoli, dog, green, cucumber, carrot. Respond directly with the remaining sequence.",,,,"broccoli, dog, cucumber, carrot"
